,date,quarter,department,day,team,targeted_productivity,smv,wip,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,actual_productivity,productivity
53,2015-01-04,Quarter1,finishing,Sunday,10,0.7,3.94,0.0,4320,0,0.0,0,0,18.0,0.759228395,medium
54,2015-01-04,Quarter1,sewing,Sunday,11,0.75,19.31,513.0,6480,45,0.0,0,0,54.0,0.750348457,medium
55,2015-01-04,Quarter1,sewing,Sunday,3,0.75,19.87,734.0,6600,45,0.0,0,0,55.0,0.75024303,medium
56,2015-01-04,Quarter1,sewing,Sunday,10,0.7,28.08,1202.0,6900,40,0.0,0,0,57.5,0.699965217,medium
57,2015-01-04,Quarter1,finishing,Sunday,8,0.8,2.9,0.0,960,0,0.0,0,0,8.0,0.682708333,medium
58,2015-01-04,Quarter1,finishing,Sunday,7,0.8,2.9,0.0,960,0,0.0,0,0,8.0,0.667604167,medium
59,2015-01-04,Quarter1,sewing,Sunday,5,0.7,45.67,884.0,6960,26,0.0,0,0,58.0,0.603432184,medium
60,2015-01-04,Quarter1,finishing,Sunday,11,0.75,4.15,0.0,960,0,0.0,0,0,8.0,0.345833333,low
61,2015-01-05,Quarter1,finishing,Monday,1,0.8,3.94,0.0,1920,0,0.0,0,0,8.0,0.961059028,high
62,2015-01-05,Quarter1,finishing,Monday,11,0.8,3.94,0.0,2400,0,0.0,0,0,10.0,0.939513889,high
63,2015-01-05,Quarter1,finishing,Monday,4,0.8,3.94,0.0,3840,0,0.0,0,0,16.0,0.893663194,high
64,2015-01-05,Quarter1,finishing,Monday,3,0.75,4.15,0.0,1920,0,0.0,0,0,8.0,0.875390625,high
65,2015-01-05,Quarter1,sewing,Monday,9,0.8,26.16,1227.0,7080,75,0.0,0,0,59.0,0.850569492,high
66,2015-01-05,Quarter1,finishing,Monday,9,0.8,2.9,0.0,1920,0,0.0,0,0,8.0,0.820833333,high
67,2015-01-05,Quarter1,finishing,Monday,2,0.8,3.94,0.0,960,0,0.0,0,0,8.0,0.804416667,high
68,2015-01-05,Quarter1,sewing,Monday,7,0.8,25.9,1255.0,6780,50,0.0,0,0,56.5,0.800684366,high
69,2015-01-05,Quarter1,sewing,Monday,8,0.8,25.9,1047.0,6780,38,0.0,0,0,56.5,0.800684366,high
70,2015-01-05,Quarter1,sewing,Monday,1,0.8,26.16,1138.0,7080,63,0.0,0,0,59.0,0.800318644,high
71,2015-01-05,Quarter1,sewing,Monday,11,0.8,19.31,678.0,4800,50,0.0,0,0,55.0,0.800250962,high
72,2015-01-05,Quarter1,sewing,Monday,6,0.8,11.61,712.0,7200,50,0.0,0,0,32.0,0.800246011,high
73,2015-01-05,Quarter1,sewing,Monday,12,0.8,11.61,1037.0,7200,50,0.0,0,0,32.0,0.800246011,high
74,2015-01-05,Quarter1,sewing,Monday,2,0.8,28.08,757.0,6900,50,0.0,0,0,57.5,0.800076522,high
75,2015-01-05,Quarter1,sewing,Monday,4,0.8,28.08,759.0,6900,50,0.0,0,0,57.5,0.800076522,high
76,2015-01-05,Quarter1,finishing,Monday,10,0.75,2.9,0.0,960,0,0.0,0,0,8.0,0.763375,medium
77,2015-01-05,Quarter1,finishing,Monday,5,0.6,2.9,0.0,960,0,0.0,0,0,8.0,0.759270833,medium
78,2015-01-05,Quarter1,sewing,Monday,10,0.75,28.08,1083.0,7020,45,0.0,0,0,58.5,0.7504,medium
79,2015-01-05,Quarter1,sewing,Monday,3,0.75,19.87,944.0,6600,45,0.0,0,0,55.0,0.75024303,medium
80,2015-01-05,Quarter1,finishing,Monday,7,0.8,3.94,0.0,960,0,0.0,0,0,8.0,0.676666667,medium
81,2015-01-05,Quarter1,finishing,Monday,8,0.8,2.9,0.0,960,0,0.0,0,0,8.0,0.664583333,medium
82,2015-01-05,Quarter1,sewing,Monday,5,0.6,21.98,666.0,6960,23,0.0,0,0,58.0,0.600028736,medium
83,2015-01-06,Quarter1,finishing,Tuesday,4,0.8,3.94,0.0,4440,0,0.0,0,0,18.0,0.966781346,high
84,2015-01-06,Quarter1,finishing,Tuesday,1,0.8,3.94,0.0,1440,0,0.0,0,0,8.0,0.936496212,high
85,2015-01-06,Quarter1,finishing,Tuesday,3,0.75,4.15,0.0,1800,0,0.0,0,0,10.0,0.899166667,high
86,2015-01-06,Quarter1,finishing,Tuesday,11,0.8,4.15,0.0,2700,0,0.0,0,0,15.0,0.888686869,high
87,2015-01-06,Quarter1,finishing,Tuesday,9,0.8,3.94,0.0,1440,0,0.0,0,0,8.0,0.858143939,high
88,2015-01-06,Quarter1,sewing,Tuesday,1,0.8,26.16,1187.0,10620,75,0.0,0,0,59.0,0.850502311,high
89,2015-01-06,Quarter1,sewing,Tuesday,9,0.8,26.16,1305.0,10620,75,0.0,0,0,59.0,0.850502311,high
90,2015-01-06,Quarter1,finishing,Tuesday,10,0.75,3.94,0.0,1440,0,0.0,0,0,8.0,0.809640152,high
91,2015-01-06,Quarter1,finishing,Tuesday,2,0.8,3.94,0.0,1440,0,0.0,0,0,8.0,0.805909091,high
92,2015-01-06,Quarter1,sewing,Tuesday,2,0.8,28.08,716.0,10350,50,0.0,0,0,57.5,0.800594466,high
93,2015-01-06,Quarter1,sewing,Tuesday,4,0.8,28.08,925.0,10350,50,0.0,0,0,57.5,0.800594466,high
94,2015-01-06,Quarter1,sewing,Tuesday,3,0.8,19.87,963.0,9900,50,0.0,0,0,55.0,0.800273829,high
95,2015-01-06,Quarter1,sewing,Tuesday,12,0.8,11.61,1101.0,5310,50,0.0,0,0,31.5,0.800140969,high
96,2015-01-06,Quarter1,sewing,Tuesday,7,0.8,25.9,1035.0,10170,38,0.0,0,0,56.5,0.800128721,high
97,2015-01-06,Quarter1,sewing,Tuesday,8,0.8,25.9,1083.0,10170,38,0.0,0,0,56.5,0.800128721,high
98,2015-01-06,Quarter1,sewing,Tuesday,6,0.8,11.61,910.0,4470,38,0.0,0,0,31.5,0.80007657,high
99,2015-01-06,Quarter1,sewing,Tuesday,10,0.75,28.08,1209.0,10530,45,0.0,0,0,58.5,0.750545455,medium
100,2015-01-06,Quarter1,sewing,Tuesday,11,0.75,19.31,590.0,9900,45,0.0,0,0,55.0,0.750057851,medium
101,2015-01-06,Quarter1,finishing,Tuesday,8,0.8,2.9,0.0,1440,0,0.0,0,0,8.0,0.681060606,medium
102,2015-01-06,Quarter1,sewing,Tuesday,5,0.65,21.98,808.0,10440,35,0.0,0,0,58.0,0.649983281,medium
103,2015-01-06,Quarter1,finishing,Tuesday,7,0.8,2.9,0.0,1440,0,0.0,0,0,8.0,0.61625,medium
104,2015-01-07,Quarter1,finishing,Wednesday,1,0.8,3.94,0.0,1440,0,0.0,0,0,8.0,0.951420455,high
105,2015-01-07,Quarter1,finishing,Wednesday,9,0.8,3.94,0.0,1440,0,0.0,0,0,8.0,0.880530303,high
106,2015-01-07,Quarter1,sewing,Wednesday,1,0.8,26.16,1179.0,10620,75,0.0,0,0,59.0,0.850502311,high
107,2015-01-07,Quarter1,sewing,Wednesday,9,0.8,26.16,1324.0,10620,75,0.0,0,0,59.0,0.850502311,high
108,2015-01-07,Quarter1,sewing,Wednesday,8,0.8,25.9,1135.0,10170,60,0.0,0,0,56.5,0.850136766,high
109,2015-01-07,Quarter1,finishing,Wednesday,3,0.75,4.15,0.0,2700,0,0.0,0,0,15.0,0.83,high
110,2015-01-07,Quarter1,finishing,Wednesday,4,0.8,3.94,0.0,4440,0,0.0,0,0,18.0,0.827186544,high
111,2015-01-07,Quarter1,finishing,Wednesday,2,0.8,3.94,0.0,1440,0,0.0,0,0,8.0,0.813371212,high
112,2015-01-07,Quarter1,finishing,Wednesday,10,0.75,3.94,0.0,1440,0,0.0,0,0,8.0,0.805909091,high
113,2015-01-07,Quarter1,finishing,Wednesday,7,0.8,2.9,0.0,1440,0,0.0,0,0,8.0,0.804640152,high
114,2015-01-07,Quarter1,sewing,Wednesday,2,0.8,28.08,776.0,10350,63,0.0,0,0,57.5,0.800594466,high
115,2015-01-07,Quarter1,sewing,Wednesday,4,0.8,28.08,990.0,10350,50,0.0,0,0,57.5,0.800594466,high
116,2015-01-07,Quarter1,sewing,Wednesday,6,0.8,11.41,986.0,5490,50,0.0,0,0,30.5,0.800343766,high
117,2015-01-07,Quarter1,sewing,Wednesday,3,0.8,19.87,924.0,9900,50,0.0,0,0,55.0,0.800273829,high
118,2015-01-07,Quarter1,sewing,Wednesday,12,0.8,11.61,1120.0,5670,50,0.0,0,0,31.5,0.800246753,high
119,2015-01-07,Quarter1,sewing,Wednesday,7,0.8,25.9,1066.0,10170,50,0.0,0,0,56.5,0.800128721,high
120,2015-01-07,Quarter1,sewing,Wednesday,10,0.75,28.08,1144.0,10530,69,0.0,0,0,58.5,0.8,medium
121,2015-01-07,Quarter1,sewing,Wednesday,5,0.7,21.98,413.0,9720,40,0.0,0,0,58.0,0.700480831,medium
122,2015-01-07,Quarter1,finishing,Wednesday,8,0.8,2.9,0.0,1440,0,0.0,0,0,8.0,0.681060606,medium
123,2015-01-07,Quarter1,finishing,Wednesday,6,0.8,2.9,0.0,1800,0,0.0,0,0,10.0,0.666515152,medium
124,2015-01-07,Quarter1,sewing,Wednesday,11,0.8,31.83,568.0,9900,40,0.0,0,0,55.0,0.412119835,low
125,2015-01-07,Quarter1,finishing,Wednesday,5,0.7,4.15,0.0,1440,0,0.0,0,0,8.0,0.330113636,low
126,2015-01-08,Quarter2,finishing,Thursday,1,0.8,3.94,0.0,1440,0,0.0,0,0,8.0,0.947689394,high
127,2015-01-08,Quarter2,finishing,Thursday,4,0.8,3.94,0.0,12600,0,0.0,0,0,20.0,0.919905405,high
128,2015-01-08,Quarter2,sewing,Thursday,9,0.8,26.16,1216.0,10620,88,0.0,0,0,59.0,0.900215716,high
129,2015-01-08,Quarter2,finishing,Thursday,9,0.8,3.94,0.0,1440,0,0.0,0,0,8.0,0.891723485,high
130,2015-01-08,Quarter2,sewing,Thursday,1,0.8,26.16,1189.0,10620,75,0.0,0,0,59.0,0.850502311,high
131,2015-01-08,Quarter2,sewing,Thursday,4,0.8,28.08,942.0,10530,75,0.0,0,0,58.5,0.850181818,high
132,2015-01-08,Quarter2,sewing,Thursday,7,0.8,25.9,1050.0,10170,60,0.0,0,0,56.5,0.850136766,high
133,2015-01-08,Quarter2,sewing,Thursday,8,0.8,25.9,1026.0,10170,60,0.0,0,0,56.5,0.850136766,high
134,2015-01-08,Quarter2,finishing,Thursday,2,0.8,3.94,0.0,1440,0,0.0,0,0,8.0,0.835757576,high
135,2015-01-08,Quarter2,finishing,Thursday,5,0.7,4.15,0.0,3840,0,0.0,0,0,8.0,0.821354167,high
136,2015-01-08,Quarter2,sewing,Thursday,2,0.8,28.08,783.0,10050,63,0.0,0,0,58.5,0.800497246,high
137,2015-01-08,Quarter2,sewing,Thursday,3,0.8,19.87,857.0,9900,50,0.0,0,0,55.0,0.800273829,high
138,2015-01-08,Quarter2,sewing,Thursday,12,0.8,11.61,548.0,15120,63,0.0,0,0,31.5,0.800107143,high
139,2015-01-08,Quarter2,sewing,Thursday,6,0.8,11.41,411.0,14640,50,0.0,0,0,30.5,0.800024932,high
140,2015-01-08,Quarter2,sewing,Thursday,10,0.75,28.08,1066.0,10530,69,0.0,0,0,58.5,0.8,medium
141,2015-01-08,Quarter2,finishing,Thursday,10,0.75,3.94,0.0,1440,0,0.0,0,0,8.0,0.779791667,medium
142,2015-01-08,Quarter2,finishing,Thursday,8,0.8,2.9,0.0,1440,0,0.0,0,0,8.0,0.735984848,medium
143,2015-01-08,Quarter2,finishing,Thursday,3,0.75,4.15,0.0,2160,0,0.0,0,0,12.0,0.712626263,medium
144,2015-01-08,Quarter2,finishing,Thursday,7,0.8,2.9,0.0,1440,0,0.0,0,0,8.0,0.681060606,medium
145,2015-01-08,Quarter2,finishing,Thursday,11,0.8,4.15,0.0,900,0,0.0,0,0,5.0,0.515606061,low
146,2015-01-08,Quarter2,sewing,Thursday,11,0.35,12.52,287.0,25920,38,0.0,0,0,54.0,0.349951389,low
147,2015-01-08,Quarter2,sewing,Thursday,5,0.7,42.41,724.0,10260,0,0.0,0,0,57.0,0.233705476,low
148,2015-01-10,Quarter2,finishing,Saturday,1,0.8,3.94,0.0,2160,0,0.0,0,0,8.0,0.985,high
149,2015-01-10,Quarter2,finishing,Saturday,3,0.75,4.15,0.0,2760,0,0.0,0,0,12.0,0.930340376,high
150,2015-01-10,Quarter2,finishing,Saturday,4,0.8,3.94,0.0,6000,0,0.0,0,0,20.0,0.911589744,high
151,2015-01-10,Quarter2,finishing,Saturday,9,0.8,3.94,0.0,1440,0,0.0,0,0,8.0,0.858143939,high
152,2015-01-10,Quarter2,sewing,Saturday,9,0.8,26.16,1122.0,10620,75,0.0,0,0,59.0,0.851174114,high
153,2015-01-10,Quarter2,sewing,Saturday,7,0.8,25.9,970.0,10170,60,0.0,0,0,56.5,0.850136766,high
154,2015-01-10,Quarter2,sewing,Saturday,8,0.8,25.9,1158.0,10170,60,0.0,0,0,56.5,0.850136766,high
155,2015-01-10,Quarter2,finishing,Saturday,10,0.8,3.94,0.0,1440,0,0.0,0,0,8.0,0.846950758,high
156,2015-01-10,Quarter2,finishing,Saturday,11,0.8,4.15,0.0,1440,0,0.0,0,0,8.0,0.817424242,high
157,2015-01-10,Quarter2,finishing,Saturday,2,0.8,3.94,0.0,1440,0,0.0,0,0,8.0,0.817102273,high
158,2015-01-10,Quarter2,sewing,Saturday,4,0.8,28.08,660.0,10440,63,0.0,0,0,58.0,0.801028213,high
159,2015-01-10,Quarter2,sewing,Saturday,2,0.8,28.08,749.0,10350,63,0.0,0,0,57.5,0.800594466,high
160,2015-01-10,Quarter2,sewing,Saturday,12,0.8,11.61,893.0,4710,50,0.0,0,0,31.5,0.800346445,high
161,2015-01-10,Quarter2,sewing,Saturday,6,0.8,11.41,887.0,5490,50,0.0,0,0,30.5,0.800343766,high
162,2015-01-10,Quarter2,sewing,Saturday,1,0.8,26.16,1335.0,10620,63,0.0,0,0,59.0,0.800117103,high
163,2015-01-10,Quarter2,sewing,Saturday,10,0.8,28.08,1082.0,10530,63,0.0,0,0,58.5,0.8,medium
164,2015-01-10,Quarter2,sewing,Saturday,3,0.75,19.87,1075.0,7080,45,0.0,0,0,56.0,0.750098351,medium
165,2015-01-10,Quarter2,sewing,Saturday,11,0.5,12.52,749.0,9540,38,0.0,0,0,53.0,0.673245283,medium
166,2015-01-10,Quarter2,finishing,Saturday,7,0.8,2.9,0.0,1440,0,0.0,0,0,8.0,0.670075758,medium
167,2015-01-10,Quarter2,finishing,Saturday,8,0.8,2.9,0.0,1440,0,0.0,0,0,8.0,0.628882576,medium
168,2015-01-10,Quarter2,sewing,Saturday,5,0.5,20.79,966.0,7680,0,0.0,0,0,56.0,0.388007813,low
169,2015-01-10,Quarter2,finishing,Saturday,5,0.5,4.15,0.0,1440,0,0.0,0,0,8.0,0.337973485,low
170,2015-01-11,Quarter2,finishing,Sunday,3,0.75,4.15,0.0,1440,0,0.0,0,0,8.0,0.93532197,high
171,2015-01-11,Quarter2,finishing,Sunday,4,0.8,3.94,0.0,3600,0,0.0,0,0,20.0,0.925643939,high
172,2015-01-11,Quarter2,sewing,Sunday,9,0.8,26.16,1095.0,10620,88,0.0,0,0,59.0,0.900215716,high
173,2015-01-11,Quarter2,finishing,Sunday,1,0.8,3.94,0.0,1440,0,0.0,0,0,8.0,0.873068182,high
174,2015-01-11,Quarter2,finishing,Sunday,9,0.8,3.94,0.0,1440,0,0.0,0,0,8.0,0.858143939,high
175,2015-01-11,Quarter2,sewing,Sunday,1,0.8,26.16,1383.0,10620,75,0.0,0,0,59.0,0.850502311,high
176,2015-01-11,Quarter2,sewing,Sunday,7,0.8,25.9,1012.0,10170,45,0.0,0,0,56.5,0.850136766,high
177,2015-01-11,Quarter2,sewing,Sunday,8,0.8,25.9,1209.0,10170,60,0.0,0,0,56.5,0.850136766,high
178,2015-01-11,Quarter2,finishing,Sunday,10,0.8,3.94,0.0,1440,0,0.0,0,0,8.0,0.828295455,high
179,2015-01-11,Quarter2,finishing,Sunday,2,0.8,3.94,0.0,1440,0,0.0,0,0,8.0,0.820833333,high
180,2015-01-11,Quarter2,sewing,Sunday,6,0.8,11.41,887.0,5490,50,0.0,0,0,30.5,0.800343766,high
181,2015-01-11,Quarter2,sewing,Sunday,12,0.8,11.61,896.0,5670,50,0.0,0,0,31.5,0.800246753,high
182,2015-01-11,Quarter2,sewing,Sunday,2,0.8,28.08,805.0,10530,63,0.0,0,0,58.5,0.8,medium
183,2015-01-11,Quarter2,sewing,Sunday,10,0.8,28.08,762.0,10530,38,0.0,0,0,58.5,0.8,medium
184,2015-01-11,Quarter2,sewing,Sunday,3,0.8,19.87,1043.0,6420,0,0.0,0,0,55.0,0.690182815,medium
185,2015-01-11,Quarter2,finishing,Sunday,11,0.8,4.15,0.0,1440,0,0.0,0,0,8.0,0.668087121,medium
186,2015-01-11,Quarter2,finishing,Sunday,8,0.8,2.9,0.0,1440,0,0.0,0,0,8.0,0.653598485,medium
187,2015-01-11,Quarter2,finishing,Sunday,5,0.5,4.15,0.0,1440,0,0.0,0,0,8.0,0.609138258,medium
188,2015-01-11,Quarter2,sewing,Sunday,11,0.6,12.52,831.0,9540,30,0.0,0,0,53.0,0.600229846,medium
189,2015-01-11,Quarter2,finishing,Sunday,6,0.8,2.9,0.0,1440,0,0.0,0,0,8.0,0.597348485,low
190,2015-01-11,Quarter2,finishing,Sunday,7,0.8,2.9,0.0,1440,0,0.0,0,0,8.0,0.590435606,low
191,2015-01-11,Quarter2,sewing,Sunday,4,0.8,50.48,562.0,10440,0,0.0,0,0,58.0,0.473134796,low
192,2015-01-11,Quarter2,sewing,Sunday,5,0.6,20.79,1208.0,7980,0,0.0,0,0,57.0,0.452979626,low
193,2015-01-12,Quarter2,finishing,Monday,1,0.8,3.94,0.0,1440,0,0.0,0,0,8.0,0.955151515,high
194,2015-01-12,Quarter2,finishing,Monday,4,0.35,4.3,0.0,3240,0,0.0,0,0,18.0,0.942213805,high
195,2015-01-12,Quarter2,finishing,Monday,3,0.8,4.15,0.0,1800,0,0.0,0,0,10.0,0.905454545,high
196,2015-01-12,Quarter2,finishing,Monday,2,0.8,3.94,0.0,1440,0,0.0,0,0,8.0,0.880530303,high
197,2015-01-12,Quarter2,finishing,Monday,9,0.8,3.94,0.0,1440,0,0.0,0,0,8.0,0.858143939,high
198,2015-01-12,Quarter2,sewing,Monday,1,0.8,26.16,1099.0,8220,75,0.0,0,0,59.0,0.850522167,high
199,2015-01-12,Quarter2,sewing,Monday,9,0.8,26.16,1093.0,10620,75,0.0,0,0,59.0,0.850502311,high
200,2015-01-12,Quarter2,sewing,Monday,7,0.8,25.9,1031.0,10170,60,0.0,0,0,56.5,0.850136766,high
201,2015-01-12,Quarter2,sewing,Monday,8,0.8,25.9,1233.0,10170,60,0.0,0,0,56.5,0.850136766,high
202,2015-01-12,Quarter2,finishing,Monday,6,0.8,2.9,0.0,1440,0,0.0,0,0,8.0,0.817424242,high
203,2015-01-12,Quarter2,finishing,Monday,5,0.65,4.15,0.0,1440,0,0.0,0,0,8.0,0.809564394,high
204,2015-01-12,Quarter2,sewing,Monday,3,0.8,19.87,941.0,9900,0,0.0,0,0,55.0,0.800273829,high
205,2015-01-12,Quarter2,sewing,Monday,6,0.8,11.41,843.0,5670,50,0.0,0,0,31.5,0.800181818,high
206,2015-01-12,Quarter2,sewing,Monday,12,0.8,11.61,760.0,4470,50,0.0,0,0,31.5,0.80007657,high
207,2015-01-12,Quarter2,sewing,Monday,2,0.8,28.08,737.0,10530,63,0.0,0,0,58.5,0.8,medium
208,2015-01-12,Quarter2,finishing,Monday,8,0.8,2.9,0.0,1440,0,0.0,0,0,8.0,0.725,medium
209,2015-01-12,Quarter2,sewing,Monday,10,0.8,50.48,381.0,6930,45,0.0,0,0,58.5,0.688557555,medium
210,2015-01-12,Quarter2,sewing,Monday,5,0.65,20.79,1141.0,8460,0,0.0,0,0,59.0,0.650040783,medium
211,2015-01-12,Quarter2,sewing,Monday,11,0.65,12.52,1004.0,9540,44,0.0,0,0,53.0,0.64998056,medium
212,2015-01-12,Quarter2,finishing,Monday,7,0.8,2.9,0.0,1440,0,0.0,0,0,8.0,0.648106061,medium
213,2015-01-12,Quarter2,finishing,Monday,11,0.8,4.15,0.0,1440,0,0.0,0,0,8.0,0.640577652,medium
214,2015-01-12,Quarter2,sewing,Monday,4,0.35,22.4,581.0,7350,0,0.0,0,0,51.5,0.35063299,low
215,2015-01-12,Quarter2,finishing,Monday,10,0.8,3.94,0.0,1440,0,0.0,0,0,8.0,0.24625,low
216,2015-01-13,Quarter2,finishing,Tuesday,4,0.35,4.3,0.0,2160,0,0.0,0,0,12.0,0.952020202,high
217,2015-01-13,Quarter2,finishing,Tuesday,1,0.8,3.94,0.0,1440,0,0.0,0,0,2.0,0.951420455,high
